Australian Bureau of Statistics

"2021 Census - employment, income and education"
"AGE10P Age in Ten Year Groups and INCP Total Personal Income (weekly) by SA1 (UR) by LTHP Type of Long-term Health Condition"
"Counting: Person Records"

Filters:
"Default Summation","Person Records"

" 0-9 years,  Negative income"
"LTHP Type of Long-term Health Condition","Arthritis","Asthma","Cancer (including remission)","Dementia (including Alzheimer's)","Diabetes (excluding gestational diabetes)","Heart disease (including heart attack or angina)","Kidney disease","Lung condition (including COPD or emphysema)","Mental health condition (including depression or anxiety)","Stroke","Any other long-term health condition(s)","No long-term health condition(s)","Total",
"Segment 08",0,6,0,0,0,0,0,0,6,0,4,15,21,
"Segment 09",0,0,0,0,0,0,0,0,0,0,0,7,7,
"Segment 10",0,0,0,0,0,0,0,0,0,0,0,8,10,
"Segment 11",0,0,0,0,0,0,0,0,0,0,0,18,18,
"Segment 12",0,0,0,0,0,0,0,0,0,0,0,17,17,
"Segment 13",0,3,0,0,0,0,0,0,0,0,0,20,25,
"Segment 14",0,3,0,0,0,0,0,0,5,0,0,25,32,
"Segment 15",0,0,0,0,0,0,0,0,0,0,0,3,4,
"Segment 16",0,5,0,0,0,0,0,0,0,0,0,18,28,
"Segment 17",0,0,0,0,0,0,0,0,0,0,0,16,15,
"Segment 18",0,0,0,0,0,0,0,0,0,0,0,10,10,
"Segment 19",0,0,0,0,0,0,0,0,6,0,0,9,13,
"Segment 20",0,3,0,0,0,0,0,0,0,0,0,10,17,
"Segment 21",0,0,0,0,0,0,0,0,6,0,0,15,22,
"Segment 22",0,0,0,0,0,0,0,0,0,0,0,4,4,
"Segment 23",0,0,0,0,0,0,0,0,0,0,0,0,4,
"Segment 24",0,0,0,0,0,0,0,0,0,0,0,7,8,
"Segment 25",0,0,0,0,0,0,0,0,0,0,0,14,14,
"Segment 26",0,0,0,0,0,0,0,0,0,0,0,6,6,
"Segment 27",0,4,0,0,0,0,0,0,0,0,0,10,9,
"Segment 28",0,0,0,0,0,0,0,0,0,0,0,3,7,
"Segment 29",0,0,0,0,0,0,0,0,0,0,0,5,4,
"Segment 30",0,0,0,0,0,0,0,0,0,0,0,12,11,
"Segment 31",0,6,0,0,0,0,0,0,6,0,0,45,55,
"Segment 32",0,0,0,0,0,0,0,0,0,0,0,9,7,
"Segment 33",0,0,0,0,0,0,0,0,0,0,0,17,13,
"Segment 34",0,3,0,0,0,0,0,0,3,0,0,11,15,
"Segment 35",0,0,0,0,0,0,0,0,0,0,0,10,10,
"Segment 36",0,0,0,0,0,0,0,0,3,0,0,10,16,
"Segment 37",0,0,0,0,0,0,0,0,0,0,0,22,28,
"Segment 38",0,6,0,0,0,0,0,0,0,0,0,14,15,
"Segment 39",0,0,0,0,0,0,0,0,0,0,0,3,3,
"Segment 40",0,0,0,0,0,0,0,0,0,0,0,8,8,
"Segment 41",0,0,0,0,0,0,0,0,0,0,0,5,5,
"Segment 42",0,0,0,0,0,0,0,0,0,0,0,7,6,
"Segment 43",0,0,0,0,0,0,0,0,0,0,0,10,10,
"Segment 44",0,3,0,0,0,0,0,0,0,0,0,24,33,
"Segment 45",0,0,0,0,0,0,0,0,0,0,0,3,6,
"Segment 46",0,0,0,0,0,0,0,0,0,0,0,12,16,
"Segment 47",0,0,0,0,0,0,0,0,0,0,0,12,15,
"Segment 48",0,0,0,0,0,0,0,0,0,0,0,4,4,
"Segment 50",0,0,0,0,0,0,0,0,0,0,0,0,0,
"Total",3,54,3,0,5,0,3,0,64,0,29,617,754,


" 10-19 years,  $3,000-$3,499 ($156,000-$181,999)"
"LTHP Type of Long-term Health Condition","Arthritis","Asthma","Cancer (including remission)","Dementia (including Alzheimer's)","Diabetes (excluding gestational diabetes)","Heart disease (including heart attack or angina)","Kidney disease","Lung condition (including COPD or emphysema)","Mental health condition (including depression or anxiety)","Stroke","Any other long-term health condition(s)","No long-term health condition(s)","Total",
"SA1 (UR)",
"Segment 01",0,0,0,0,0,0,0,0,0,0,0,19,21,
"Segment 02",0,0,0,0,0,0,0,0,3,0,5,19,21,
"Segment 03",0,0,0,0,0,0,0,0,0,0,0,11,12,
"Segment 04",0,0,0,0,0,0,0,0,0,0,0,3,3,
"Segment 05",0,0,0,0,0,0,0,0,0,0,0,11,10,
"Segment 06",0,0,0,0,0,0,0,0,0,0,0,4,4,
"Segment 07",0,0,0,0,0,0,0,0,0,0,0,6,4,
"Segment 08",0,0,0,0,0,0,0,0,0,0,0,8,8,
"Segment 09",0,6,0,0,0,0,0,0,0,0,0,3,10,
"Segment 10",0,0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 11",0,0,0,0,0,0,0,0,0,0,0,3,5,
"Segment 12",0,0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 13",0,3,0,0,0,0,0,0,0,0,0,7,10,
"Segment 14",0,0,0,0,0,0,0,0,0,0,0,4,4,
"Segment 15",0,0,0,0,0,0,0,0,0,0,0,5,5,
"Segment 16",0,0,0,0,0,0,0,0,0,0,0,11,11,
"Segment 17",0,0,0,0,0,0,0,0,0,0,0,5,5,
"Segment 18",0,3,0,0,0,0,0,0,0,0,0,7,12,
"Segment 19",0,0,0,0,0,0,0,0,0,0,0,5,5,
"Segment 20",0,0,0,0,0,0,0,0,0,0,0,5,5,
"Segment 21",0,0,0,0,0,0,0,0,0,0,0,14,14,
"Segment 22",0,0,0,0,0,0,0,0,0,0,0,0,4,
"Segment 23",0,0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 24",0,0,0,0,0,0,0,0,0,0,0,9,10,
"Segment 25",0,0,0,0,0,0,0,0,0,0,0,7,7,
"Segment 26",0,0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 27",0,0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 28",0,0,0,0,0,0,0,0,0,0,0,3,3,
"Segment 29",0,0,0,0,0,0,0,0,0,0,0,0,4,
"Segment 30",0,0,0,0,0,0,0,0,0,0,0,3,0,
"Segment 31",0,3,0,0,0,0,0,0,4,0,0,5,8,
"Segment 32",0,0,0,0,0,0,0,0,0,0,0,6,6,
"Segment 33",0,0,0,0,0,0,0,0,0,0,0,4,3,
"Segment 34",0,0,0,0,0,0,0,0,0,0,0,3,3,
"Segment 35",0,0,0,0,0,0,0,0,0,0,0,4,4,
"Segment 36",0,0,0,0,0,0,0,0,3,0,0,0,3,
"Segment 37",0,0,0,0,0,0,0,0,0,0,0,8,13,
"Segment 38",0,0,0,0,0,0,0,0,0,0,0,4,3,
"Segment 39",0,0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 40",0,0,0,0,0,0,0,0,0,0,0,0,4,
"Segment 41",0,0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 42",0,0,0,0,0,0,0,0,0,0,0,5,5,
"Segment 43",0,0,0,0,0,0,0,0,0,0,0,3,3,
"Segment 44",0,0,0,0,0,0,0,0,0,0,0,3,7,
"Segment 45",0,0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 46",0,0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 47",0,0,0,0,0,0,0,0,0,0,0,4,0,
"Segment 48",0,0,0,0,0,0,0,0,0,0,0,3,3,
"Segment 50",0,0,0,0,0,0,0,0,0,0,0,0,0,
"Total",0,25,0,0,0,0,0,0,16,0,21,218,267,


" 10-19 years,  $3,500 or more ($182,000 or more)"
"LTHP Type of Long-term Health Condition","Arthritis","Asthma","Cancer (including remission)","Dementia (including Alzheimer's)","Diabetes (excluding gestational diabetes)","Heart disease (including heart attack or angina)","Kidney disease","Lung condition (including COPD or emphysema)","Mental health condition (including depression or anxiety)","Stroke","Any other long-term health condition(s)","No long-term health condition(s)","Total",
"SA1 (UR)",
"Segment 01",0,0,0,0,0,0,0,0,3,0,3,16,21,
"Segment 02",6,4,4,4,3,4,0,0,0,4,0,18,26,
"Segment 03",0,0,0,0,0,0,0,0,0,0,0,22,23,
"Segment 04",0,0,0,0,0,0,0,0,3,0,0,4,11,
"Segment 05",0,0,0,0,0,0,0,0,0,0,0,20,20,
"Segment 06",0,0,0,0,0,0,0,0,0,0,0,8,11,
"Segment 07",0,0,0,0,0,0,0,0,0,0,0,3,3,
"Segment 08",0,6,0,0,0,0,0,0,4,0,0,10,19,
"Segment 09",0,0,0,0,0,0,0,0,0,0,0,4,4,
"Segment 10",0,0,0,0,0,0,0,0,0,0,0,3,8,
"Segment 11",0,0,0,0,0,0,0,0,0,0,0,12,8,
"Segment 12",0,5,0,0,0,0,0,0,3,0,4,8,22,
"Segment 13",0,3,0,0,0,0,0,0,3,0,0,15,17,
"Segment 14",0,0,0,0,0,0,0,0,0,0,0,16,22,
"Segment 15",0,0,0,0,0,0,0,0,0,0,0,0,0,
"Segment 16",0,0,0,0,0,0,0,0,6,0,0,10,10,
"Segment 17",0,0,0,0,0,0,0,0,0,0,0,12,12,
"Segment 18",0,0,0,0,0,0,0,0,0,0,0,3,3,
"Segment 19",0,4,0,0,0,6,4,0,0,0,0,8,13,
"Segment 20",0,4,0,0,0,0,0,0,0,0,0,11,10,
"Segment 21",0,0,0,0,0,0,0,0,3,0,5,16,28,
"Segment 22",0,0,0,0,0,0,0,0,0,0,0,3,3,
"Segment 23",0,0,0,0,0,0,0,0,0,0,0,9,8,
"Segment 24",0,0,0,0,0,0,0,0,0,0,0,14,13,
"Segment 25",0,3,0,0,0,0,0,0,0,0,0,8,16,
"Segment 26",0,0,0,0,0,0,0,0,0,0,0,4,9,
"Segment 27",0,0,0,0,0,0,0,0,0,0,0,6,7,
"Segment 28",0,0,0,0,0,0,0,0,0,0,0,4,9,
"Segment 29",0,3,0,0,0,0,0,0,0,0,0,16,22,
"Segment 30",0,4,0,0,0,0,0,0,4,0,0,10,20,
"Segment 31",0,7,0,0,0,0,0,0,4,0,0,33,45,
"Segment 32",0,3,0,0,6,0,0,0,8,0,4,18,33,
"Segment 33",0,4,0,0,0,0,0,0,4,0,0,13,25,
"Segment 34",0,0,0,0,0,0,0,0,3,0,0,13,16,
"Segment 35",0,4,0,0,0,0,0,0,4,0,0,14,20,
"Segment 36",0,0,0,0,0,0,0,0,3,0,3,19,32,
"Segment 37",0,4,0,0,0,0,0,0,3,0,4,31,48,
"Segment 38",0,0,0,0,0,0,0,0,6,0,4,23,34,
"Segment 39",0,0,0,0,0,0,0,0,0,0,0,0,5,
"Segment 40",0,0,0,0,0,0,0,0,4,0,0,10,13,
"Segment 41",0,0,0,0,0,0,0,0,0,0,0,4,5,
"Segment 42",0,0,0,0,0,0,0,0,0,0,0,3,3,
"Segment 43",0,0,0,0,0,0,0,0,0,0,0,4,14,
"Segment 44",0,6,0,0,0,0,0,0,0,0,0,19,23,
"Segment 45",0,0,0,0,0,0,0,0,0,0,0,8,11,
"Segment 46",0,3,0,0,0,0,0,0,0,0,0,11,16,
"Segment 47",0,0,0,0,0,0,0,0,0,0,0,3,5,
"Segment 48",0,0,0,0,0,0,0,0,0,0,0,6,10,
"Segment 50",0,0,0,0,0,0,0,0,0,0,0,0,0,
"Total",29,88,9,12,14,12,14,8,93,9,45,555,766,


" 20-29 years,  Negative income"
"LTHP Type of Long-term Health Condition","Arthritis","Asthma","Cancer (including remission)","Dementia (including Alzheimer's)","Diabetes (excluding gestational diabetes)","Heart disease (including heart attack or angina)","Kidney disease","Lung condition (including COPD or emphysema)","Mental health condition (including depression or anxiety)","Stroke","Any other long-term health condition(s)","No long-term health condition(s)","Total",
"SA1 (UR)",
"Segment 01",0,13,0,0,0,3,0,0,20,0,12,87,127,
"Segment 02",3,9,0,0,0,0,0,0,21,0,9,132,175,
"Segment 03",0,13,4,0,0,0,0,0,12,0,9,82,104,
"Segment 04",3,19,0,0,3,0,0,0,25,4,17,149,200,
"Segment 05",3,15,0,4,0,3,0,4,20,3,15,112,164,
"Segment 06",3,25,5,3,0,0,0,0,24,0,15,203,264,
"Segment 07",0,25,4,0,4,4,0,0,38,0,28,320,394,
"Segment 08",0,20,3,0,4,3,0,3,31,0,20,183,247,
"Segment 09",0,8,0,0,0,6,0,0,16,3,12,208,232,
"Segment 10",0,15,0,0,3,0,0,0,15,4,20,266,307,
"Segment 11",4,19,0,4,0,0,0,0,27,0,18,259,324,
"Segment 12",5,19,0,0,0,0,0,0,36,0,15,172,232,
"Segment 13",9,48,3,0,5,3,0,0,85,6,38,630,791,
"Segment 14",5,35,4,4,7,5,0,0,47,0,42,302,399,
"Segment 15",5,32,3,0,0,0,0,0,22,0,13,237,297,
"Segment 16",8,17,0,0,3,0,0,0,31,0,22,610,685,
"Segment 17",4,18,0,0,3,0,0,0,18,0,19,288,335,
"Segment 18",0,17,4,3,3,3,0,0,36,0,23,281,339,
"Segment 19",4,24,7,3,5,5,0,5,44,0,21,225,304,
"Segment 20",4,19,0,0,6,0,0,0,33,0,10,196,261,
"Segment 21",0,12,0,0,0,6,0,0,19,0,11,242,276,
"Segment 22",3,0,4,4,4,4,4,4,18,4,12,328,361,
"Segment 23",3,17,0,0,6,0,0,0,37,0,14,208,273,
"Segment 24",5,14,0,0,4,0,0,0,26,0,13,122,167,
"Segment 25",7,30,0,0,0,0,0,0,36,0,21,300,384,
"Segment 26",10,22,0,0,3,0,0,0,30,0,24,518,591,
"Segment 27",12,46,0,7,9,3,4,4,48,4,24,776,895,
"Segment 28",0,17,0,0,7,0,4,0,27,0,19,354,407,
"Segment 29",7,34,4,0,4,3,0,5,48,0,22,377,480,
"Segment 30",14,32,0,0,3,0,0,0,52,3,21,345,439,
"Segment 31",14,72,0,0,0,3,4,0,88,0,45,579,759,
"Segment 32",8,45,0,0,5,3,4,0,68,0,29,404,522,
"Segment 33",0,23,0,0,0,0,0,0,37,0,22,142,202,
"Segment 34",5,16,0,0,3,0,0,0,17,0,7,112,154,
"Segment 35",0,13,0,0,0,0,0,0,25,0,13,115,165,
"Segment 36",11,43,0,4,8,3,3,4,56,3,20,224,332,
"Segment 37",12,67,4,4,3,4,4,3,103,5,41,348,526,
"Segment 38",0,20,0,0,0,0,0,4,37,0,21,161,222,
"Segment 39",0,4,0,0,0,0,0,0,10,0,4,51,67,
"Segment 40",0,15,0,0,3,0,0,0,24,0,9,154,194,
"Segment 41",5,3,0,0,0,0,0,0,8,0,5,36,52,
"Segment 42",0,6,0,0,0,0,0,0,3,0,5,43,55,
"Segment 43",0,9,0,0,0,0,0,0,9,0,4,94,115,
"Segment 44",0,22,0,5,7,4,0,0,31,0,22,176,231,
"Segment 45",0,6,0,0,3,0,0,0,17,0,4,49,76,
"Segment 46",4,22,0,0,3,0,0,0,23,0,9,109,147,
"Segment 47",3,3,0,0,0,0,0,0,3,0,5,28,32,
"Segment 48",5,5,0,0,3,3,0,0,8,0,5,226,251,
"Segment 50",0,0,0,0,0,0,0,0,4,0,3,9,11,
"Total",197,1029,72,45,150,82,56,62,1517,49,810,11541,14577,


" 20-29 years,  Nil income"
"LTHP Type of Long-term Health Condition","Arthritis","Asthma","Cancer (including remission)","Dementia (including Alzheimer's)","Diabetes (excluding gestational diabetes)","Heart disease (including heart attack or angina)","Kidney disease","Lung condition (including COPD or emphysema)","Mental health condition (including depression or anxiety)","Stroke","Any other long-term health condition(s)","No long-term health condition(s)","Total",
"SA1 (UR)",
"Segment 01",25,250,10,0,20,15,9,5,481,0,264,2877,3737,
"Segment 02",25,317,7,0,43,14,11,11,789,4,421,3465,4831,
"Segment 03",12,165,12,0,19,9,8,6,318,4,175,1927,2536,
"Segment 04",23,290,22,0,49,19,3,16,691,6,309,2528,3650,
"Segment 05",22,260,10,0,18,23,10,6,598,3,277,2657,3668,
"Segment 06",38,325,15,0,42,20,11,3,620,5,290,3123,4223,
"Segment 07",23,323,13,0,25,8,6,5,459,5,256,4258,5208,
"Segment 08",29,298,16,0,13,14,0,8,679,7,269,3908,4999,
"Segment 09",18,289,13,3,19,13,7,8,386,0,219,4826,5674,
"Segment 10",22,217,14,3,23,11,4,3,347,8,191,3337,4026,
"Segment 11",29,395,19,0,34,16,11,10,614,3,339,4799,6007,
"Segment 12",34,317,16,0,33,18,6,9,616,3,264,2435,3479,
"Segment 13",56,555,23,0,74,27,18,9,1001,5,479,7413,9233,
"Segment 14",51,409,13,3,31,8,12,7,833,6,367,3368,4745,
"Segment 15",9,184,12,0,16,7,0,10,279,0,139,3277,3826,
"Segment 16",43,383,18,0,48,17,14,4,661,0,370,13892,15221,
"Segment 17",19,243,4,0,26,28,3,3,415,3,224,4067,4868,
"Segment 18",25,323,14,0,30,13,11,12,660,3,275,7269,8384,
"Segment 19",33,331,16,4,45,18,9,14,691,10,294,2734,3855,
"Segment 20",35,333,13,0,33,16,13,12,768,7,344,3234,4472,
"Segment 21",21,245,11,4,22,20,5,3,507,0,191,6284,7167,
"Segment 22",13,158,8,3,31,9,8,4,281,4,161,5651,6244,
"Segment 23",15,219,9,0,30,9,4,7,375,4,201,2814,3539,
"Segment 24",25,211,11,0,22,13,4,4,479,0,207,1580,2346,
"Segment 25",36,400,18,3,48,13,6,12,710,3,332,4687,5924,
"Segment 26",28,298,22,3,50,12,10,6,324,0,221,5791,6628,
"Segment 27",29,456,16,3,67,24,18,4,577,10,377,7457,8781,
"Segment 28",15,275,8,0,32,14,11,0,272,0,165,3722,4407,
"Segment 29",43,394,15,0,51,14,11,9,659,3,270,3141,4267,
"Segment 30",55,340,15,0,41,16,13,13,671,8,285,3378,4530,
"Segment 31",57,607,17,5,52,27,12,21,1020,3,473,7276,9083,
"Segment 32",23,286,8,0,34,17,14,3,394,4,192,2806,3577,
"Segment 33",34,262,6,0,27,22,7,3,591,3,246,1703,2650,
"Segment 34",20,218,7,0,26,10,5,7,503,3,232,1553,2377,
"Segment 35",23,146,17,0,23,13,6,4,342,0,134,1350,1915,
"Segment 36",35,352,12,0,31,14,8,10,731,3,293,2028,3168,
"Segment 37",60,533,15,0,53,32,18,8,1006,4,390,3261,4899,
"Segment 38",18,181,11,0,23,18,6,10,441,4,152,1533,2219,
"Segment 39",3,52,0,0,7,0,5,3,100,0,36,430,589,
"Segment 40",19,149,3,0,16,10,4,0,238,0,139,1525,1997,
"Segment 41",9,57,3,0,7,5,0,3,94,3,48,450,633,
"Segment 42",0,27,0,0,0,0,0,0,56,0,24,224,313,
"Segment 43",6,89,5,0,6,0,0,5,164,0,83,895,1190,
"Segment 44",30,233,9,4,28,15,9,7,413,0,196,1674,2413,
"Segment 45",12,75,4,0,9,0,3,0,104,0,67,523,745,
"Segment 46",11,114,3,0,15,0,4,4,210,0,76,889,1248,
"Segment 47",0,14,0,0,5,0,0,0,26,0,16,167,216,
"Segment 48",3,35,0,0,11,18,0,0,57,0,27,664,794,
"Segment 50",0,3,3,0,0,0,0,0,18,0,5,68,98,
"Total",1211,12637,532,53,1429,654,381,317,23272,152,11009,158913,200581,


" 20-29 years,  $1-$149 ($1-$7,799)"
"LTHP Type of Long-term Health Condition","Arthritis","Asthma","Cancer (including remission)","Dementia (including Alzheimer's)","Diabetes (excluding gestational diabetes)","Heart disease (including heart attack or angina)","Kidney disease","Lung condition (including COPD or emphysema)","Mental health condition (including depression or anxiety)","Stroke","Any other long-term health condition(s)","No long-term health condition(s)","Total",
"SA1 (UR)",
"Segment 01",18,186,15,0,8,14,4,9,311,0,151,1689,2285,
"Segment 02",26,252,13,4,19,9,0,11,478,0,277,2313,3209,
"Segment 03",13,116,3,0,12,8,4,0,237,0,114,1120,1533,
"Segment 04",14,191,4,4,10,9,3,4,319,0,177,1283,1861,
"Segment 05",13,180,4,0,10,6,0,6,322,0,191,1447,2042,
"Segment 06",15,137,3,0,14,3,3,5,266,0,154,1092,1568,
"Segment 07",3,138,10,0,13,7,0,0,178,0,100,1371,1749,
"Segment 08",16,198,8,0,7,11,6,4,384,3,195,1448,2108,
"Segment 09",9,156,4,0,5,3,0,0,181,4,120,1735,2148,
"Segment 10",14,119,9,0,12,5,3,4,157,4,86,1117,1445,
"Segment 11",16,211,11,0,17,10,7,9,355,0,169,2119,2773,
"Segment 12",9,133,7,3,13,8,8,0,282,0,135,1074,1556,
"Segment 13",27,269,7,3,30,6,13,12,412,0,174,2117,2859,
"Segment 14",17,189,6,0,19,6,6,8,363,4,176,1190,1797,
"Segment 15",6,65,4,0,11,3,0,0,108,0,56,755,953,
"Segment 16",9,116,4,0,12,0,3,0,205,0,98,1995,2350,
"Segment 17",10,119,6,0,15,11,3,4,174,0,95,1292,1639,
"Segment 18",16,171,3,0,13,5,8,5,278,0,136,1757,2249,
"Segment 19",19,140,0,0,13,9,9,3,296,3,132,1121,1621,
"Segment 20",20,206,4,0,21,8,10,4,406,0,204,1620,2315,
"Segment 21",9,138,3,0,12,0,0,0,272,0,98,1473,1912,
"Segment 22",15,70,0,0,5,0,0,0,102,0,55,1111,1319,
"Segment 23",7,145,5,0,5,3,0,0,214,0,120,1243,1645,
"Segment 24",20,145,6,0,15,3,0,5,275,4,110,811,1267,
"Segment 25",18,216,11,0,30,14,0,0,366,0,166,1776,2404,
"Segment 26",12,116,4,0,13,3,0,0,125,0,93,1529,1838,
"Segment 27",13,208,9,0,18,3,6,7,211,0,130,2272,2763,
"Segment 28",3,91,8,0,3,6,0,3,103,0,72,1092,1336,
"Segment 29",25,164,0,0,24,7,6,4,298,5,132,973,1458,
"Segment 30",29,196,0,0,27,17,0,8,354,4,138,1184,1755,
"Segment 31",21,305,12,0,29,13,6,7,531,5,233,2215,3104,
"Segment 32",17,168,0,0,18,9,4,0,277,0,97,1006,1463,
"Segment 33",18,144,3,0,17,6,4,0,257,0,106,693,1115,
"Segment 34",13,142,4,0,11,3,3,6,237,4,97,772,1178,
"Segment 35",12,89,4,0,7,6,0,0,195,5,98,728,1056,
"Segment 36",22,224,8,0,18,11,0,8,370,0,160,894,1508,
"Segment 37",39,274,6,0,25,17,11,10,525,4,210,1387,2210,
"Segment 38",9,101,3,0,8,0,3,3,227,0,85,645,983,
"Segment 39",7,38,0,0,0,0,0,0,55,0,25,184,284,
"Segment 40",4,67,0,0,9,5,0,3,137,0,71,541,784,
"Segment 41",3,37,0,0,0,0,0,0,38,0,17,201,275,
"Segment 42",3,16,0,0,0,0,0,0,27,0,11,92,145,
"Segment 43",4,60,0,0,8,0,0,0,85,0,31,388,540,
"Segment 44",9,127,0,0,20,5,3,10,206,0,78,744,1112,
"Segment 45",7,35,0,0,5,0,0,0,69,0,25,282,396,
"Segment 46",9,74,0,0,10,6,4,0,123,0,43,379,580,
"Segment 47",0,16,3,0,0,3,0,0,18,0,11,78,110,
"Segment 48",5,19,0,0,18,45,11,0,45,0,36,956,1110,
"Segment 50",0,11,0,0,0,0,0,0,9,0,8,37,57,
"Total",632,6709,238,29,622,310,159,176,11480,77,5488,55342,75780,


" 20-29 years,  $150-$299 ($7,800-$15,599)"
"LTHP Type of Long-term Health Condition","Arthritis","Asthma","Cancer (including remission)","Dementia (including Alzheimer's)","Diabetes (excluding gestational diabetes)","Heart disease (including heart attack or angina)","Kidney disease","Lung condition (including COPD or emphysema)","Mental health condition (including depression or anxiety)","Stroke","Any other long-term health condition(s)","No long-term health condition(s)","Total",
"SA1 (UR)",
"Segment 01",25,353,14,0,27,4,9,5,609,0,312,3010,4144,
"Segment 02",32,509,21,0,39,13,14,16,1055,7,489,4395,6190,
"Segment 03",23,234,17,0,17,11,10,10,471,0,227,2094,2922,
"Segment 04",34,381,18,0,32,9,15,4,799,4,383,2699,4058,
"Segment 05",32,381,13,0,29,12,7,7,744,0,365,2858,4136,
"Segment 06",35,407,9,0,29,15,10,6,734,0,328,2289,3523,
"Segment 07",28,340,8,0,35,14,7,5,536,0,272,2912,3887,
"Segment 08",32,478,22,0,27,17,8,13,968,0,389,3157,4695,
"Segment 09",24,279,6,0,16,9,3,0,404,0,213,3129,3929,
"Segment 10",31,269,7,0,29,18,5,0,511,3,215,2214,3064,
"Segment 11",30,437,18,0,34,12,6,4,790,5,393,4066,5474,
"Segment 12",44,401,13,0,40,23,8,11,865,10,367,2366,3731,
"Segment 13",82,640,24,0,76,21,14,16,1249,4,524,4610,6607,
"Segment 14",70,525,18,0,58,38,16,9,1149,10,439,2888,4644,
"Segment 15",23,211,7,0,19,17,4,7,376,3,167,1696,2327,
"Segment 16",20,318,6,0,19,5,5,3,543,0,258,3862,4795,
"Segment 17",38,296,8,0,22,19,3,3,532,4,224,2645,3557,
"Segment 18",36,518,21,0,22,15,11,6,1043,5,410,3844,5453,
"Segment 19",45,455,14,0,45,23,5,16,930,5,412,2532,4023,
"Segment 20",54,559,18,0,51,27,7,11,1179,10,497,3414,5236,
"Segment 21",16,300,5,0,13,13,4,3,611,0,214,2713,3655,
"Segment 22",8,187,7,0,11,8,0,0,324,0,153,2394,2970,
"Segment 23",37,323,10,0,37,9,6,11,564,8,291,2530,3521,
"Segment 24",54,374,16,0,47,18,10,10,795,5,364,1810,3073,
"Segment 25",47,578,14,0,39,27,5,18,1231,12,531,3820,5705,
"Segment 26",34,319,10,3,39,14,10,9,435,0,252,3772,4649,
"Segment 27",51,548,20,0,53,21,17,13,773,3,416,5067,6554,
"Segment 28",27,342,4,0,40,10,8,0,447,6,225,2684,3555,
"Segment 29",70,603,15,0,71,20,17,11,1211,3,439,2848,4626,
"Segment 30",70,578,19,0,66,33,14,20,1346,10,489,3170,5097,
"Segment 31",118,968,35,0,84,28,32,20,1975,11,734,5209,8129,
"Segment 32",91,688,24,3,83,40,12,21,1305,6,484,3033,5000,
"Segment 33",45,339,11,0,31,16,10,8,794,4,296,1728,2906,
"Segment 34",39,339,8,0,23,15,9,10,782,0,318,1833,3025,
"Segment 35",31,284,3,0,33,17,3,9,618,4,251,1647,2600,
"Segment 36",69,660,15,0,63,29,21,16,1557,6,533,2591,4785,
"Segment 37",128,1084,28,0,110,40,27,19,2214,9,778,3861,7072,
"Segment 38",48,405,10,0,28,20,5,20,874,3,313,1904,3179,
"Segment 39",11,74,0,0,16,3,4,0,167,0,69,460,727,
"Segment 40",21,217,7,0,21,14,5,3,402,0,197,1327,2018,
"Segment 41",5,66,0,0,10,4,6,6,135,0,59,373,594,
"Segment 42",5,29,0,0,4,0,0,0,90,0,34,260,377,
"Segment 43",19,142,3,0,18,8,0,5,305,0,140,858,1345,
"Segment 44",47,329,17,0,26,13,6,16,666,0,278,1773,2809,
"Segment 45",15,126,8,0,11,12,4,3,262,0,90,583,972,
"Segment 46",26,189,13,0,13,10,0,9,359,4,126,884,1439,
"Segment 47",0,25,3,0,7,6,0,0,41,0,23,203,289,
"Segment 48",21,116,3,0,74,199,34,17,226,3,138,4776,5493,
"Segment 50",0,10,0,0,0,3,0,0,25,0,3,84,119,
"Total",1884,18220,593,31,1755,961,478,426,36024,177,15126,124866,182691,


" 20-29 years,  $300-$399 ($15,600-$20,799)"
"LTHP Type of Long-term Health Condition","Arthritis","Asthma","Cancer (including remission)","Dementia (including Alzheimer's)","Diabetes (excluding gestational diabetes)","Heart disease (including heart attack or angina)","Kidney disease","Lung condition (including COPD or emphysema)","Mental health condition (including depression or anxiety)","Stroke","Any other long-term health condition(s)","No long-term health condition(s)","Total",
"SA1 (UR)",
"Segment 01",31,335,13,0,27,7,7,6,608,0,294,2686,3765,
"Segment 02",39,539,22,0,43,19,16,3,1100,7,490,4069,5883,
"Segment 03",17,248,7,0,9,7,7,5,463,0,206,1882,2668,
"Segment 04",46,444,20,0,36,16,8,7,893,9,381,2650,4085,
"Segment 05",32,358,14,0,42,14,9,7,766,7,359,2618,3860,
"Segment 06",50,380,15,3,34,18,9,11,789,6,355,2305,3575,
"Segment 07",37,363,8,0,41,15,11,11,561,6,292,2576,3590,
"Segment 08",44,621,30,0,36,24,4,12,1453,3,540,3776,5876,
"Segment 09",22,307,9,0,17,13,7,3,441,0,252,2819,3650,
"Segment 10",28,320,8,0,31,8,4,11,639,3,263,2299,3279,
